ID,titulo practica,RUT Companhia,sueldo,modalidad,formato
86890,Practicante en Gestión Escolar,77504034-3,339640,Trabajo remoto,Jornadas de turnos
70310,Practicante en Restauración Patrimonial,77504791-7,206278,Trabajo presencial,Jornadas flexibles
16424,Practicante en Sociología de la Educación,77504791-7,277544,Trabajo presencial,Jornada de medio tiempo
89476,Practicante en Neuropsicología,77504791-7,263047,Trabajo remoto,Jornada de medio tiempo
80663,Practicante en Gestión de Proyectos,77504791-7,330445,Trabajo remoto,Jornada de medio tiempo
92545,Practicante en Robótica,77503755-5,300499,Trabajo remoto,Jornada de medio tiempo
7296,Practicante en Realidad Virtual,77503755-5,210061,Trabajo remoto,Jornada de tiempo parcial
71766,Practicante en Estimulación Temprana,77503755-5,296141,Trabajo remoto,Jornadas de turnos
43368,Practicante en Restauración Patrimonial,77503755-5,350581,Trabajo remoto,Jornadas flexibles
55142,Practicante en Laboratorio Biológico,77503755-5,200830,Trabajo presencial,Jornadas flexibles
52879,Practicante en Internet de las Cosas,77503755-5,249602,Trabajo presencial,Jornada de medio tiempo
70648,Practicante en Geología Ambiental,77503755-5,217055,Trabajo presencial,Jornada de tiempo parcial
63885,Practicante en Animación y Modelado 3D,77504025-4,392837,Trabajo remoto,Jornada de tiempo parcial
7688,Practicante en Endodoncia,77504025-4,290319,Trabajo remoto,Jornada de tiempo completo
72917,Practicante en Endodoncia,77503753-9,270786,Trabajo presencial,Jornada de medio tiempo
48354,Practicante en Educación Especial,77503753-9,225129,Trabajo remoto,Jornada de tiempo completo
38957,Practicante en Derecho Familiar,77503753-9,314689,Trabajo presencial,Jornadas flexibles
94165,Practicante en Mineralogía,77503753-9,241868,Trabajo remoto,Jornada de tiempo parcial
25897,Practicante en Nanotecnología,77503753-9,223429,Trabajo remoto,Jornada de tiempo completo
32661,Practicante en Realidad Virtual,77503753-9,220630,Trabajo presencial,Jornada de tiempo completo
99803,Practicante en Pedagogía Inclusiva,77503753-9,202478,Trabajo remoto,Jornada de tiempo parcial
3959,Practicante en Astrofísica,77504735-6,337685,Trabajo remoto,Jornada de tiempo completo
56148,Practicante en Arquitectura Sostenible,77504735-6,277031,Trabajo remoto,Jornada de tiempo completo
15243,Practicante en Escuela Primaria,77504735-6,234210,Trabajo remoto,Jornadas de turnos
24417,Practicante en Salud Mental,77504735-6,213656,Trabajo presencial,Jornadas flexibles
27252,Practicante en Laboratorio de Física Aplicada,77503907-8,271365,Trabajo remoto,Jornadas flexibles
91730,Practicante en Urbanismo,77503907-8,314179,Trabajo presencial,Jornadas flexibles
71563,Practicante en Periodoncia,77505049-7,214630,Trabajo remoto,Jornada de tiempo parcial
56922,Practicante en Educación Ambiental,77505049-7,269069,Trabajo presencial,Jornada de tiempo parcial
37367,Practicante en Museología,77505049-7,206451,Trabajo presencial,Jornada de medio tiempo
80048,Practicante en Ortodoncia,77505132-9,392124,Trabajo presencial,Jornada de tiempo parcial
16257,Practicante en Sociología de la Educación,77505132-9,292935,Trabajo remoto,Jornada de tiempo completo
72302,Practicante en Psicología Escolar,77505132-9,294993,Trabajo presencial,Jornada de medio tiempo
80270,Practicante en Realidad Virtual,77505132-9,334936,Trabajo presencial,Jornadas de turnos
27786,Practicante en Diseño de Videojuegos,77505997-4,264676,Trabajo presencial,Jornada de tiempo completo
9138,Practicante en Hidrología,77505997-4,271262,Trabajo presencial,Jornada de tiempo completo
3064,Practicante en Cuidados Intensivos,77505997-4,318230,Trabajo remoto,Jornada de medio tiempo
18935,Practicante en Mapeo Geológico,77505997-4,361947,Trabajo presencial,Jornadas de turnos
89256,Practicante en Realidad Virtual,77505997-4,225188,Trabajo presencial,Jornada de tiempo completo
98212,Practicante en Óptica y Fotónica,77505997-4,277611,Trabajo remoto,Jornada de medio tiempo
46688,Practicante en Protección de Menores,77505442-5,269554,Trabajo presencial,Jornada de tiempo parcial
85035,Practicante en Educación Especial,77505442-5,284556,Trabajo remoto,Jornadas flexibles
7339,Practicante en Energías Renovables,77505442-5,266813,Trabajo remoto,Jornadas flexibles
51304,Practicante en Farmacología,77505442-5,251814,Trabajo remoto,Jornadas de turnos
23870,Practicante en Atención Primaria,77505442-5,342243,Trabajo remoto,Jornadas de turnos
22141,Practicante en Cirugía,77505442-5,325715,Trabajo presencial,Jornadas flexibles
65395,Practicante en Mapeo Geológico,77505442-5,281867,Trabajo remoto,Jornada de medio tiempo
46776,Practicante en Agencia de Diseño,77505442-5,371017,Trabajo remoto,Jornadas de turnos
31203,Practicante en Arquitectura Sostenible,77505442-5,299498,Trabajo remoto,Jornadas de turnos
91427,Practicante en Estudio de Arquitectura,77505442-5,391109,Trabajo presencial,Jornada de tiempo completo
59871,Practicante en Derechos Humanos,77505442-5,216121,Trabajo remoto,Jornadas flexibles
20686,Practicante en Pedagogía Inclusiva,77505442-5,294087,Trabajo remoto,Jornada de tiempo parcial
23159,Practicante en Psicología Organizacional,77505442-5,251163,Trabajo presencial,Jornadas flexibles
5181,Practicante en Odontopediatría,77505835-8,209710,Trabajo remoto,Jornadas flexibles
39546,Practicante en Psicomotricidad Infantil,77505835-8,288286,Trabajo remoto,Jornadas flexibles
39470,Practicante en Endodoncia,77505835-8,387350,Trabajo presencial,Jornadas flexibles
45298,Practicante en Redes,77505835-8,240137,Trabajo presencial,Jornadas flexibles
77007,Practicante en Química Inorgánica,77505835-8,263205,Trabajo remoto,Jornada de medio tiempo
15550,Practicante en Ilustración Digital,77505835-8,287794,Trabajo remoto,Jornadas de turnos
46776,Practicante en Edición de Video,77505835-8,344661,Trabajo presencial,Jornada de tiempo completo
97084,Practicante en Jardín Infantil,77505835-8,264997,Trabajo remoto,Jornada de medio tiempo
13230,Practicante en Ilustración Digital,77506109-K,317052,Trabajo remoto,Jornada de medio tiempo
95169,Practicante en Astrofísica,77506109-K,251676,Trabajo remoto,Jornadas flexibles
84052,Practicante en Petrología,77506109-K,301911,Trabajo presencial,Jornada de tiempo parcial
88743,Practicante en Educación Artística,77506109-K,204907,Trabajo presencial,Jornadas de turnos
80826,Practicante en Trabajo Social Penitenciario,77506168-5,295367,Trabajo presencial,Jornadas flexibles
82945,Practicante en Ginecología,77506168-5,241789,Trabajo presencial,Jornadas de turnos
21084,Practicante en Animación y Modelado 3D,77506168-5,283491,Trabajo remoto,Jornada de tiempo completo
13465,Practicante en Diseño de Interiores,77506168-5,250042,Trabajo presencial,Jornada de medio tiempo
6484,Practicante en Geofísica,77506289-4,362965,Trabajo presencial,Jornadas flexibles
78589,Practicante en Arquitectura Sostenible,77506232-0,238592,Trabajo presencial,Jornada de medio tiempo
39400,Practicante en Periodoncia,77506232-0,202231,Trabajo presencial,Jornada de medio tiempo
34085,Practicante en Patrimonio Cultural,77506232-0,259281,Trabajo presencial,Jornada de medio tiempo
35820,Practicante en Psicología Forense,77506232-0,381324,Trabajo remoto,Jornadas de turnos
95222,Practicante en Fabricación de Maquinaria,77506669-5,249337,Trabajo remoto,Jornada de medio tiempo
12762,Practicante en Cardiología,77506669-5,241819,Trabajo remoto,Jornada de tiempo completo
95331,Practicante en Arte Digital para Publicidad,77506769-1,205450,Trabajo remoto,Jornada de medio tiempo
87819,Practicante en Diseño Mecánico,77506769-1,211055,Trabajo presencial,Jornadas de turnos
69075,Practicante en Agencia de Diseño,77507281-4,224009,Trabajo presencial,Jornada de tiempo parcial
81017,Practicante en Intervención Comunitaria,77507751-4,215864,Trabajo remoto,Jornada de tiempo completo
18484,Practicante en Sistemas de Control,77507788-3,325858,Trabajo remoto,Jornadas flexibles
89284,Practicante en Ciberseguridad,77507368-3,345143,Trabajo remoto,Jornada de medio tiempo
39132,Practicante en Energías Renovables,77507368-3,299604,Trabajo remoto,Jornadas de turnos
94325,Practicante en Estimulación Temprana,77507368-3,224904,Trabajo presencial,Jornadas de turnos
64218,Practicante en Cardiología,77507368-3,259267,Trabajo remoto,Jornada de tiempo parcial
58546,Practicante en Neuropsicología,77507368-3,330191,Trabajo remoto,Jornada de medio tiempo
57858,Practicante en Ilustración Digital,77507368-3,220675,Trabajo remoto,Jornadas flexibles
42012,Practicante en Asistencia Social,77507368-3,200774,Trabajo presencial,Jornada de tiempo completo
58488,Practicante en Diseño de Interiores,77507368-3,346058,Trabajo remoto,Jornadas flexibles
3229,Practicante en Laboratorio Biológico,77508037-K,286525,Trabajo presencial,Jornada de tiempo parcial
6080,Practicante en Petrología,77508037-K,265388,Trabajo remoto,Jornada de tiempo completo
98987,Practicante en Microbiología,77508037-K,268524,Trabajo remoto,Jornada de medio tiempo
87312,Practicante en Mineralogía,77508037-K,329306,Trabajo remoto,Jornadas flexibles
65872,Practicante en Desarrollo de Software,77508037-K,306839,Trabajo remoto,Jornadas de turnos
47336,Practicante en Docencia Histórica,77508037-K,225649,Trabajo remoto,Jornada de tiempo completo
46216,Practicante en Redes,77508037-K,205193,Trabajo presencial,Jornada de medio tiempo
6078,Practicante en Psicología Organizacional,77508037-K,363302,Trabajo presencial,Jornada de tiempo parcial
55341,Practicante en Odontopediatría,77508037-K,363429,Trabajo remoto,Jornadas flexibles
60627,Practicante en Nanotecnología,77508037-K,368014,Trabajo presencial,Jornadas flexibles
73425,Practicante en Energía Renovable,77508476-6,278201,Trabajo presencial,Jornadas flexibles
47756,Practicante en Ortodoncia,77508084-1,340286,Trabajo presencial,Jornadas de turnos
93917,Practicante en Diseño de Interiores,77508084-1,273165,Trabajo remoto,Jornadas flexibles
16534,Practicante en Educación Artística,77508068-K,305614,Trabajo remoto,Jornada de tiempo parcial
39388,Practicante en Endodoncia,77508068-K,280105,Trabajo remoto,Jornada de medio tiempo
60044,Practicante en Internet de las Cosas,77508068-K,249005,Trabajo remoto,Jornada de tiempo parcial
42479,Practicante en Agencia de Diseño,77508068-K,221964,Trabajo remoto,Jornada de tiempo completo
72077,Practicante en Didáctica de la Historia,77508068-K,288511,Trabajo remoto,Jornadas de turnos
41466,Practicante en Estudios de Género,77508068-K,248631,Trabajo remoto,Jornadas flexibles
23031,Practicante en Psicomotricidad Infantil,77508068-K,363270,Trabajo remoto,Jornadas de turnos
41857,Practicante en Estimulación Temprana,77508068-K,311314,Trabajo remoto,Jornada de tiempo parcial
24089,Practicante en Inteligencia Artificial,77508018-3,280527,Trabajo presencial,Jornada de tiempo parcial
97633,Practicante en Sociología de la Educación,77508018-3,399350,Trabajo remoto,Jornada de tiempo completo
33677,Practicante en Cardiología,77508878-8,252926,Trabajo presencial,Jornada de tiempo completo
15310,Practicante en Obras Civiles,77508947-4,455420,Trabajo remoto,Jornadas flexibles
77607,Practicante en Educación Ambiental,77508947-4,315509,Trabajo presencial,Jornadas de turnos
78518,Practicante en Psicología Forense,77508853-2,328951,Trabajo presencial,Jornadas flexibles
21255,Practicante en Psicología Organizacional,77508996-2,268943,Trabajo remoto,Jornada de medio tiempo
79414,Practicante en Diseño de Packaging,77509144-4,311828,Trabajo presencial,Jornada de tiempo completo
94206,Practicante en Laboratorio de Física Aplicada,77509416-8,296074,Trabajo presencial,Jornadas de turnos
91191,Practicante en Mineralogía,77509416-8,281476,Trabajo presencial,Jornadas de turnos
1686,Practicante en Farmacología,77509416-8,300451,Trabajo remoto,Jornada de medio tiempo
60529,Practicante en Trabajo Social de Salud,77509416-8,254891,Trabajo remoto,Jornada de medio tiempo
43976,Practicante en Óptica y Fotónica,77509416-8,233387,Trabajo remoto,Jornada de tiempo completo
34280,Practicante en Investigación Social,77509416-8,221624,Trabajo remoto,Jornadas de turnos
22290,Practicante en Derecho Familiar,77509596-2,321211,Trabajo presencial,Jornada de medio tiempo
61983,Practicante en Protección de Menores,77509596-2,233818,Trabajo remoto,Jornadas de turnos
81317,Practicante en Redes,77509596-2,214524,Trabajo presencial,Jornadas de turnos
99051,Practicante en Calidad,77510299-3,248373,Trabajo presencial,Jornada de tiempo parcial
32277,Practicante en Estimulación Temprana,77510418-K,308806,Trabajo presencial,Jornada de medio tiempo
65263,Practicante en Mineralogía,77510418-K,213356,Trabajo presencial,Jornada de medio tiempo
12858,Practicante en Geotecnia,77510418-K,280234,Trabajo remoto,Jornadas flexibles
4652,Practicante en Farmacología,77510484-8,321677,Trabajo remoto,Jornada de tiempo completo
42387,Practicante en Ingeniería Estructural,77510394-9,339463,Trabajo presencial,Jornada de tiempo parcial
41339,Practicante en Diseño de Videojuegos,77510394-9,204834,Trabajo remoto,Jornada de medio tiempo
71422,Practicante en Psicología Forense,77510394-9,401108,Trabajo remoto,Jornada de tiempo parcial
47001,Practicante en Biología Marina,77510394-9,254921,Trabajo remoto,Jornada de medio tiempo
19834,Practicante en Psicomotricidad Infantil,77510557-7,302115,Trabajo presencial,Jornadas de turnos
69749,Practicante en Investigación Histórica,77511508-4,274541,Trabajo presencial,Jornada de tiempo parcial
51431,Practicante en Pedagogía Montessori,77511148-8,323821,Trabajo presencial,Jornada de tiempo parcial
17755,Practicante en Geología Ambiental,77511148-8,287425,Trabajo presencial,Jornadas flexibles
21322,Practicante en Mecánica de Fluidos,77511148-8,264977,Trabajo remoto,Jornadas de turnos
15462,Practicante en Edición de Video,77511148-8,314208,Trabajo remoto,Jornada de tiempo parcial
679,Practicante en Energías Renovables,77511148-8,301459,Trabajo presencial,Jornadas de turnos
79813,Practicante en Derecho Familiar,77511347-2,262199,Trabajo presencial,Jornada de medio tiempo
32992,Practicante en Geriatría,77511347-2,214714,Trabajo remoto,Jornada de tiempo completo
20274,Practicante en Obras Civiles,77511347-2,277178,Trabajo presencial,Jornada de tiempo parcial
8996,Practicante en Psicomotricidad Infantil,77511347-2,376443,Trabajo remoto,Jornadas de turnos
67659,Practicante en Fisioterapia Deportiva,77511347-2,367008,Trabajo remoto,Jornadas de turnos
81017,Practicante en Pedagogía Montessori,77511537-8,239971,Trabajo remoto,Jornadas flexibles
93393,Practicante en Psicología Escolar,77511114-3,221847,Trabajo presencial,Jornadas de turnos
44988,Practicante en Robótica,77511648-K,347094,Trabajo remoto,Jornada de tiempo completo
69938,Practicante en Consultoría Empresarial,77511648-K,307019,Trabajo remoto,Jornada de tiempo completo
87733,Practicante en Identidad Corporativa,77511648-K,221928,Trabajo remoto,Jornadas de turnos
25493,Practicante en Biología Marina,77511648-K,253292,Trabajo remoto,Jornada de tiempo completo
7122,Practicante en Nanotecnología,77511648-K,343899,Trabajo presencial,Jornada de tiempo completo
60376,Practicante en Pedagogía Inclusiva,77511648-K,298563,Trabajo remoto,Jornada de tiempo parcial
73406,Practicante en Diseño de Interiores,77511648-K,212823,Trabajo remoto,Jornada de tiempo completo
4389,Practicante en Sistemas de Control,77511824-5,263145,Trabajo remoto,Jornadas de turnos
54072,Practicante en Museología,77512025-8,301534,Trabajo remoto,Jornadas de turnos
570,Practicante en Estimulación Temprana,77512025-8,395635,Trabajo remoto,Jornadas flexibles
18842,Practicante en Intervención Comunitaria,77512025-8,317169,Trabajo presencial,Jornada de tiempo parcial
23469,Practicante en Investigación Histórica,77512206-4,238484,Trabajo presencial,Jornada de medio tiempo
57895,Practicante en Intervención Comunitaria,77512206-4,214975,Trabajo remoto,Jornadas de turnos
79683,Practicante en Laboratorio Biológico,77511825-3,231583,Trabajo presencial,Jornada de medio tiempo
79398,Practicante en Física Nuclear,77511825-3,213215,Trabajo presencial,Jornada de medio tiempo
28365,Practicante en Animación y Modelado 3D,77511963-2,247009,Trabajo remoto,Jornadas flexibles
43660,Practicante en Cuidados Intensivos,77511963-2,320116,Trabajo remoto,Jornadas de turnos
56349,Practicante en Redes,77511963-2,259892,Trabajo remoto,Jornada de medio tiempo
99726,Practicante en Patrimonio Cultural,77512102-5,235903,Trabajo remoto,Jornada de tiempo completo
86916,Practicante en Química Analítica,77512102-5,219883,Trabajo presencial,Jornada de tiempo completo
72224,Practicante en Edición de Video,77512102-5,294795,Trabajo presencial,Jornada de medio tiempo
58351,Practicante en Sociología de la Educación,77512191-2,240717,Trabajo presencial,Jornadas de turnos
65443,Practicante en Psicología Escolar,77512191-2,367386,Trabajo remoto,Jornadas flexibles
6677,Practicante en Ciberseguridad,77512637-K,249079,Trabajo remoto,Jornada de tiempo completo
73604,Practicante en Estimulación Temprana,77512897-6,267381,Trabajo remoto,Jornada de tiempo parcial
67228,Practicante en Estudio de Arquitectura,77512779-1,302870,Trabajo remoto,Jornada de tiempo completo
61503,Practicante en Medicina General,77512519-5,361276,Trabajo remoto,Jornada de tiempo completo
59649,Practicante en Diseño Editorial,77512519-5,349924,Trabajo presencial,Jornada de tiempo parcial
25628,Practicante en Pedagogía Montessori,77512519-5,300773,Trabajo remoto,Jornadas de turnos
13641,Practicante en Kinesiología Pediátrica,77512519-5,224177,Trabajo remoto,Jornada de tiempo completo
57804,Practicante en Laboratorio de Física Aplicada,77512519-5,245292,Trabajo remoto,Jornada de medio tiempo
65566,Practicante en Agencia de Diseño,77512519-5,303036,Trabajo remoto,Jornada de medio tiempo
1617,Practicante en Sociología de la Educación,77512519-5,312016,Trabajo presencial,Jornadas de turnos
99159,Practicante en Asistencia Social,77513205-1,293108,Trabajo remoto,Jornada de medio tiempo
92000,Practicante en Rehabilitación Deportiva,77513003-2,500261,Trabajo remoto,Jornadas flexibles
63851,Practicante en Física Nuclear,77513003-2,292740,Trabajo remoto,Jornada de tiempo parcial
92070,Practicante en Patrimonio Cultural,77513003-2,226447,Trabajo remoto,Jornada de tiempo completo
44702,Practicante en Educación Artística,77513003-2,214201,Trabajo remoto,Jornadas flexibles
96285,Practicante en Diseño Mecánico,77513003-2,288460,Trabajo remoto,Jornadas flexibles
5888,Practicante en Logística,77513003-2,207410,Trabajo presencial,Jornadas flexibles
7824,Practicante en Arquitectura Sostenible,77513073-3,323971,Trabajo remoto,Jornadas de turnos
46573,Practicante en Endodoncia,77513073-3,312469,Trabajo remoto,Jornada de tiempo completo
9581,Practicante en Cirugía,77513073-3,259283,Trabajo presencial,Jornada de tiempo parcial
79028,Practicante en Odontopediatría,77513073-3,313877,Trabajo presencial,Jornada de tiempo completo
67413,Practicante en Patrimonio Cultural,77513165-9,309183,Trabajo presencial,Jornada de tiempo completo
19166,Practicante en Identidad Corporativa,77513165-9,208419,Trabajo presencial,Jornada de tiempo parcial
90397,Practicante en Mineralogía,77513165-9,205497,Trabajo remoto,Jornada de medio tiempo
21661,Practicante en Psicomotricidad Infantil,77513165-9,293858,Trabajo remoto,Jornada de tiempo completo
10056,Practicante en Educación Ambiental,77513165-9,351935,Trabajo presencial,Jornada de tiempo parcial
4685,Practicante en Astrofísica,77513165-9,263294,Trabajo presencial,Jornadas de turnos
27504,Practicante en Cuidados Intensivos,77513165-9,363132,Trabajo presencial,Jornada de medio tiempo
14064,Practicante en Farmacología,77513289-2,444787,Trabajo remoto,Jornada de tiempo completo
98822,Practicante en Neuropsicología,77513289-2,228318,Trabajo remoto,Jornada de medio tiempo
22782,Practicante en Diseño de Videojuegos,77513164-0,276760,Trabajo presencial,Jornadas de turnos
16261,Practicante en Electrónica de Potencia,77513164-0,290689,Trabajo remoto,Jornadas de turnos
35449,Practicante en Neuropsicología,77513164-0,206979,Trabajo remoto,Jornada de tiempo completo
36645,Practicante en Psicoterapia,77513164-0,320868,Trabajo remoto,Jornada de medio tiempo
23517,Practicante en Diseño de Packaging,77513164-0,353392,Trabajo presencial,Jornada de tiempo parcial
47129,Practicante en Gestión Escolar,77513164-0,348113,Trabajo presencial,Jornadas flexibles
81989,Practicante en Estimulación Temprana,77513164-0,344658,Trabajo presencial,Jornadas de turnos
96864,Practicante en Geofísica,77513164-0,247082,Trabajo presencial,Jornadas flexibles
23561,Practicante en Geotecnia,77513164-0,296736,Trabajo remoto,Jornadas flexibles
79011,Practicante en Educación Especial,77513164-0,210619,Trabajo presencial,Jornada de tiempo parcial
32229,Practicante en Ortodoncia,77513843-2,316803,Trabajo presencial,Jornada de tiempo completo
14890,Practicante en Investigación Histórica,77513965-K,264882,Trabajo remoto,Jornada de medio tiempo
91979,Practicante en Restauración Patrimonial,77514128-K,257415,Trabajo presencial,Jornada de medio tiempo
55429,Practicante en Mecánica de Fluidos,77514128-K,220103,Trabajo presencial,Jornada de tiempo parcial
83516,Practicante en Diseño Mecánico,77514128-K,288790,Trabajo remoto,Jornada de tiempo completo
63786,Practicante en Docencia Histórica,77514128-K,315963,Trabajo remoto,Jornada de tiempo parcial
48902,Practicante en Microbiología,77514128-K,201260,Trabajo remoto,Jornada de tiempo completo
23840,Practicante en Diseño Mecánico,77514367-3,307202,Trabajo remoto,Jornada de tiempo parcial
37289,Practicante en Sociología de la Educación,77514367-3,324466,Trabajo remoto,Jornada de tiempo parcial
68962,Practicante en Arquitectura Sostenible,77514367-3,220069,Trabajo presencial,Jornada de tiempo parcial
79449,Practicante en Geotecnia,77514367-3,268322,Trabajo remoto,Jornadas de turnos
41087,Practicante en Edición de Video,77514367-3,253557,Trabajo presencial,Jornadas flexibles
72904,Practicante en Asistencia Social,77514069-0,308263,Trabajo remoto,Jornadas flexibles
94647,Practicante en Redes,77515431-4,311100,Trabajo remoto,Jornada de tiempo parcial
35231,Practicante en Física Nuclear,77515431-4,234138,Trabajo presencial,Jornadas de turnos
72985,Practicante en Estimulación Temprana,77515431-4,247435,Trabajo remoto,Jornadas de turnos
2438,Practicante en Química Inorgánica,77515431-4,286680,Trabajo presencial,Jornada de medio tiempo
40342,Practicante en Psicología Forense,77515417-9,312616,Trabajo remoto,Jornada de tiempo completo
21983,Practicante en Hidrología,77515417-9,292522,Trabajo presencial,Jornada de tiempo parcial
259,Practicante en Derecho Penal,77515417-9,271370,Trabajo presencial,Jornadas de turnos
43576,Practicante en Sociología Urbana,77514881-0,298445,Trabajo remoto,Jornadas flexibles
82269,Practicante en Química Inorgánica,77514881-0,262704,Trabajo remoto,Jornadas flexibles
28509,Practicante en Jardín Infantil,77514881-0,238666,Trabajo remoto,Jornadas flexibles
16427,Practicante en Arquitectura Sostenible,77514881-0,330317,Trabajo remoto,Jornada de tiempo parcial
25480,Practicante en Neuropsicología,77514881-0,311879,Trabajo presencial,Jornadas flexibles
3897,Practicante en Propiedad Intelectual,77514881-0,202553,Trabajo presencial,Jornada de tiempo completo
72105,Practicante en Hidrología,77514881-0,316000,Trabajo remoto,Jornada de medio tiempo
11880,Practicante en Diseño de Interiores,77514881-0,217177,Trabajo presencial,Jornadas de turnos
15763,Practicante en Geotecnia,77514881-0,228895,Trabajo presencial,Jornada de tiempo completo
42622,Practicante en Mapeo Geológico,77515216-8,264404,Trabajo presencial,Jornadas de turnos
6061,Practicante en Cardiología,77515216-8,279233,Trabajo remoto,Jornadas flexibles
28720,Practicante en Estimulación Temprana,77514876-4,246049,Trabajo remoto,Jornada de tiempo parcial
8392,Practicante en Derechos Humanos,77514876-4,440912,Trabajo presencial,Jornada de medio tiempo
7366,Practicante en Estudios de Género,77514876-4,345730,Trabajo remoto,Jornada de tiempo completo
43457,Practicante en Microbiología,77514876-4,312837,Trabajo presencial,Jornadas de turnos
93340,Practicante en Laboratorio Químico,77515938-3,201498,Trabajo remoto,Jornada de medio tiempo
26839,Practicante en Urbanismo,77515938-3,251486,Trabajo remoto,Jornadas flexibles
5856,Practicante en Investigación Histórica,77515938-3,333309,Trabajo presencial,Jornadas de turnos
94510,Practicante en Energía Renovable,77515938-3,295295,Trabajo presencial,Jornadas de turnos
94469,Practicante en Estudio de Arquitectura,77515938-3,214558,Trabajo remoto,Jornadas flexibles
95161,Practicante en Calidad,77515938-3,279284,Trabajo presencial,Jornadas de turnos
21271,Practicante en Propiedad Intelectual,77515938-3,252726,Trabajo presencial,Jornada de tiempo parcial
36267,Practicante en Periodoncia,77515938-3,361540,Trabajo remoto,Jornadas flexibles
62848,Practicante en Psicología Organizacional,77515938-3,205131,Trabajo presencial,Jornada de tiempo completo
30528,Practicante en Diseño de Videojuegos,77515851-4,328481,Trabajo presencial,Jornada de medio tiempo
54891,Practicante en Endodoncia,77515851-4,224980,Trabajo presencial,Jornadas flexibles
43130,Practicante en Psicomotricidad Infantil,77516282-1,429388,Trabajo remoto,Jornada de tiempo completo
65537,Practicante en Geología Ambiental,77516665-7,288145,Trabajo remoto,Jornada de medio tiempo
85535,Practicante en Optimización de Procesos,77516665-7,205919,Trabajo presencial,Jornadas flexibles
60160,Practicante en Propiedad Intelectual,77516665-7,220891,Trabajo presencial,Jornadas de turnos
33451,Practicante en Arquitectura Sostenible,77516665-7,295627,Trabajo remoto,Jornada de tiempo completo
36080,Practicante en Demografía,77516766-1,217742,Trabajo presencial,Jornada de tiempo parcial
62544,Practicante en Cardiología,77516766-1,211320,Trabajo remoto,Jornadas flexibles
31083,Practicante en Gestión Escolar,77516766-1,220870,Trabajo remoto,Jornadas flexibles
67336,Practicante en Optimización de Procesos,77516766-1,276484,Trabajo remoto,Jornadas flexibles
64,Practicante en Geriatría,77516158-2,290691,Trabajo presencial,Jornada de tiempo parcial
49098,Practicante en Museología,77516158-2,296217,Trabajo remoto,Jornadas flexibles
26828,Practicante en Calidad,77516158-2,210677,Trabajo presencial,Jornada de medio tiempo
9477,Practicante en Psicología Organizacional,77516664-9,314463,Trabajo presencial,Jornadas de turnos
30545,Practicante en Mineralogía,77516664-9,288377,Trabajo presencial,Jornada de tiempo completo
4143,Practicante en Ilustración Digital,77516395-K,292132,Trabajo remoto,Jornada de tiempo parcial
10806,Practicante en Docencia Histórica,77516623-1,226712,Trabajo remoto,Jornada de tiempo completo
76570,Practicante en Educación Ambiental,77516705-K,344994,Trabajo presencial,Jornadas de turnos
17240,Practicante en Ortodoncia,77516705-K,206762,Trabajo remoto,Jornadas flexibles
33516,Practicante en Patrimonio Cultural,77516705-K,211864,Trabajo remoto,Jornada de tiempo completo
36502,Practicante en Rehabilitación Deportiva,77516538-3,215384,Trabajo remoto,Jornadas flexibles
50118,Practicante en Identidad Corporativa,77516538-3,429337,Trabajo presencial,Jornada de tiempo completo
